#ID	Name
G1	decoy5
G2	SACOL2524
G3	SAV1564
G4	SAV0535
G5	SAV1561
G6	SAV2354
G7	SAV0108
G8	SAV1305
G9	SAV1934
G10	SACOL0074
G11	SAV2520
G12	SAV2042
G13	decoy4
G14	SAV0044
G15	SAV0697
G16	SAV2508
G17	SAV2064
G18	SAV2499
G19	SAV2665
G20	SAV0264
G21	SAV1051
G22	SAV0476
G23	SAV0672
G24	decoy6
G25	decoy2
G26	SAV2297
G27	SAV2332
G28	SAV1402
G29	SAV1255
G30	SAV0616
G31	decoy3
G32	SAV2704
G33	SAV2697
G34	SAV0542
G35	SAV0698
G36	SAV2295
G37	SAV2267
G38	SAV1506
G39	SAV2571
G40	SAV2542
G41	SAV0522
G42	SAV1277
G43	SAV0112
G44	SAV0997
G45	SAV0667
G46	SAV0543
G47	SAV1686
G48	SAV2363
G49	SAV0333
G50	SAV0686
G51	SAV0135
G52	SAV1357
G53	decoy1
G54	SAV0634
G55	SAV2224
G56	SAV2145
G57	SAV1217
G58	SAV1861
G59	SAV0471
G60	SAV0311
G61	SAV1736
G62	decoy9
G63	SAV1520
G64	SAV0668
G65	SAV1508
G66	SAV0518
G67	SAV2357
G68	SAV2593
G69	SAV0244
G70	SAV2201
G71	SAV2578
G72	SAV0533
G73	SAV1554
G74	SAV0767
G75	SAV2265
G76	decoy8
G77	SAV1764
G78	SAV2157
G79	SAV2375
G80	SAV1083
G81	SAV2498
G82	SAV2381
G83	SAV1210
G84	SAV0976
G85	SAV1582
G86	SACOL0072
G87	SAV2312
G88	SAV1610
G89	SAV2631
G90	SAV1498
G91	SAV2046
G92	SAV1309
G93	SAV2507
G94	decoy7
G95	SAV0271
G96	SAV2628
G97	SAV1228
G98	SAV2553
G99	SAV0332
G100	SAV2639
G101	decoy59
G102	SACOL0035
G103	SACOL1574
G104	SAV1021
G105	SAV1847
G106	SAV1039
G107	SAV1557
G108	SAV0843
G109	SAV0768
G110	SAV0713
G111	SAV2041
G112	SAV2193
G113	SA1796
G114	SAV1684
G115	SAV0162
G116	SAV1303
G117	SAV0562
G118	SAV1843
G119	SAV1760
G120	SAV1306
G121	SAV2317
G122	SAV1160
G123	SAV1841
G124	SAV1585
G125	SAV2572
G126	SAV2324
G127	SAV1212
G128	SAV0618
G129	SAV0661
G130	SACOL2677
G131	SAV1415
G132	SAV1479
G133	SACOL1858
G134	SAV2073
G135	SAV0059
G136	SAV2374
G137	SAV2109
