#Experiment	Perturbations	PerturbationLevels	Treatment	DeletedGenes	OverexpressedGenes	Time	Repeat
1	NA	NA	NA	NA	NA	NA	1
1	NA	NA	NA	NA	NA	NA	2
2	NA	NA	NA	NA	NA	NA	1
2	NA	NA	NA	NA	NA	NA	2
2	NA	NA	NA	NA	NA	NA	3
3	NA	NA	NA	NA	NA	NA	1
3	NA	NA	NA	NA	NA	NA	2
3	NA	NA	NA	NA	NA	NA	3
4	NA	NA	NA	NA	NA	NA	1
4	NA	NA	NA	NA	NA	NA	2
4	NA	NA	NA	NA	NA	NA	3
5	NA	NA	NA	NA	NA	NA	1
5	NA	NA	NA	NA	NA	NA	2
6	NA	NA	NA	NA	NA	NA	1
7	NA	NA	NA	NA	NA	NA	1
7	NA	NA	NA	NA	NA	NA	2
7	NA	NA	NA	NA	NA	NA	3
8	NA	NA	NA	NA	NA	NA	1
9	NA	NA	NA	NA	NA	NA	1
9	NA	NA	NA	NA	NA	NA	2
9	NA	NA	NA	NA	NA	NA	3
10	NA	NA	NA	NA	NA	NA	1
10	NA	NA	NA	NA	NA	NA	2
11	NA	NA	NA	NA	NA	NA	1
11	NA	NA	NA	NA	NA	NA	2
11	NA	NA	NA	NA	NA	NA	3
12	NA	NA	NA	NA	NA	NA	1
12	NA	NA	NA	NA	NA	NA	2
12	NA	NA	NA	NA	NA	NA	3
12	NA	NA	NA	NA	NA	NA	4
13	NA	NA	NA	NA	NA	NA	1
13	NA	NA	NA	NA	NA	NA	2
13	NA	NA	NA	NA	NA	NA	3
14	NA	NA	NA	NA	NA	NA	1
14	NA	NA	NA	NA	NA	NA	2
14	NA	NA	NA	NA	NA	NA	3
14	NA	NA	NA	NA	NA	NA	4
15	NA	NA	NA	NA	NA	NA	1
15	NA	NA	NA	NA	NA	NA	2
15	NA	NA	NA	NA	NA	NA	3
16	NA	NA	NA	NA	NA	NA	1
16	NA	NA	NA	NA	NA	NA	2
16	NA	NA	NA	NA	NA	NA	3
17	NA	NA	NA	NA	NA	NA	1
17	NA	NA	NA	NA	NA	NA	2
18	NA	NA	NA	NA	NA	NA	1
18	NA	NA	NA	NA	NA	NA	2
18	NA	NA	NA	NA	NA	NA	3
19	NA	NA	NA	NA	NA	NA	1
19	NA	NA	NA	NA	NA	NA	2
19	NA	NA	NA	NA	NA	NA	3
20	NA	NA	NA	NA	NA	NA	1
20	NA	NA	NA	NA	NA	NA	2
20	NA	NA	NA	NA	NA	NA	3
21	NA	NA	NA	NA	NA	NA	1
21	NA	NA	NA	NA	NA	NA	2
21	NA	NA	NA	NA	NA	NA	3
22	NA	NA	NA	NA	NA	NA	1
22	NA	NA	NA	NA	NA	NA	2
22	NA	NA	NA	NA	NA	NA	3
23	NA	NA	NA	NA	NA	NA	1
23	NA	NA	NA	NA	NA	NA	2
23	NA	NA	NA	NA	NA	NA	3
24	NA	NA	NA	NA	NA	NA	1
24	NA	NA	NA	NA	NA	NA	2
24	NA	NA	NA	NA	NA	NA	3
25	NA	NA	NA	NA	NA	0.00	1
25	NA	NA	NA	NA	NA	0.00	2
25	NA	NA	NA	NA	NA	0.00	3
25	NA	NA	NA	NA	NA	16.00	1
25	NA	NA	NA	NA	NA	16.00	2
25	NA	NA	NA	NA	NA	16.00	3
25	NA	NA	NA	NA	NA	60.00	1
25	NA	NA	NA	NA	NA	60.00	2
25	NA	NA	NA	NA	NA	60.00	3
26	NA	NA	NA	NA	NA	0.00	1
26	NA	NA	NA	NA	NA	1.00	1
26	NA	NA	NA	NA	NA	2.00	1
26	NA	NA	NA	NA	NA	3.33	1
26	NA	NA	NA	NA	NA	4.67	1
26	NA	NA	NA	NA	NA	6.00	1
27	NA	NA	NA	NA	NA	0.00	1
27	NA	NA	NA	NA	NA	0.00	2
27	NA	NA	NA	NA	NA	0.00	3
27	NA	NA	NA	NA	NA	48.00	1
27	NA	NA	NA	NA	NA	48.00	2
27	NA	NA	NA	NA	NA	48.00	3
27	NA	NA	NA	NA	NA	96.00	1
27	NA	NA	NA	NA	NA	96.00	2
27	NA	NA	NA	NA	NA	96.00	3
28	NA	NA	NA	NA	NA	0.00	1
28	NA	NA	NA	NA	NA	0.00	2
28	NA	NA	NA	NA	NA	0.00	3
28	NA	NA	NA	NA	NA	44.00	1
28	NA	NA	NA	NA	NA	44.00	2
28	NA	NA	NA	NA	NA	104.00	1
28	NA	NA	NA	NA	NA	104.00	2
28	NA	NA	NA	NA	NA	104.00	3
29	NA	NA	NA	NA	NA	0.00	1
29	NA	NA	NA	NA	NA	0.00	2
29	NA	NA	NA	NA	NA	0.00	3
29	NA	NA	NA	NA	NA	44.00	1
29	NA	NA	NA	NA	NA	44.00	2
29	NA	NA	NA	NA	NA	104.00	1
29	NA	NA	NA	NA	NA	104.00	2
29	NA	NA	NA	NA	NA	104.00	3
29	NA	NA	NA	NA	NA	144.00	1
29	NA	NA	NA	NA	NA	144.00	2
29	NA	NA	NA	NA	NA	144.00	3
29	NA	NA	NA	NA	NA	188.00	1
29	NA	NA	NA	NA	NA	188.00	2
29	NA	NA	NA	NA	NA	188.00	3
30	NA	NA	NA	NA	NA	0.00	1
30	NA	NA	NA	NA	NA	1.00	1
30	NA	NA	NA	NA	NA	2.00	1
30	NA	NA	NA	NA	NA	3.33	1
30	NA	NA	NA	NA	NA	4.67	1
30	NA	NA	NA	NA	NA	6.00	1
31	P1	NA	NA	NA	NA	NA	1
31	P1	NA	NA	NA	NA	NA	2
31	NA	NA	NA	NA	NA	NA	1
31	NA	NA	NA	NA	NA	NA	2
32	NA	NA	NA	NA	NA	NA	1
32	NA	NA	NA	NA	NA	NA	2
32	P2	NA	NA	NA	NA	NA	1
32	P2	NA	NA	NA	NA	NA	2
32	P1	NA	NA	NA	NA	NA	1
32	P1	NA	NA	NA	NA	NA	2
32	P3	NA	NA	NA	NA	NA	1
32	P3	NA	NA	NA	NA	NA	2
33	P4	1.00	NA	NA	NA	NA	1
33	P4	1.00	NA	NA	NA	NA	2
33	P4	1.00	NA	NA	NA	NA	3
33	P4	1.00	NA	NA	NA	NA	4
33	P4	0.98	NA	NA	NA	NA	1
33	P4	0.98	NA	NA	NA	NA	2
33	P4	0.98	NA	NA	NA	NA	3
33	P4	0.98	NA	NA	NA	NA	4
33	P4	0.95	NA	NA	NA	NA	1
33	P4	0.95	NA	NA	NA	NA	2
33	P4	0.95	NA	NA	NA	NA	3
33	P4	0.95	NA	NA	NA	NA	4
33	P4	0.95	NA	NA	NA	NA	5
33	P4	0.95	NA	NA	NA	NA	6
33	P4	0.87	NA	NA	NA	NA	1
33	P4	0.87	NA	NA	NA	NA	2
33	P4	0.87	NA	NA	NA	NA	3
33	P4	0.87	NA	NA	NA	NA	4
33	NA	NA	NA	NA	NA	NA	1
33	NA	NA	NA	NA	NA	NA	2
33	NA	NA	NA	NA	NA	NA	3
33	NA	NA	NA	NA	NA	NA	4
34	P1	0.42	NA	NA	NA	NA	1
34	P1	0.42	NA	NA	NA	NA	2
34	P1	0.69	NA	NA	NA	NA	1
34	P1	0.69	NA	NA	NA	NA	2
34	P1	0.69	NA	NA	NA	NA	3
35	P3	NA	NA	NA	NA	NA	1
35	P3	NA	NA	NA	NA	NA	2
35	NA	NA	NA	NA	NA	NA	1
35	NA	NA	NA	NA	NA	NA	2
36	NA	NA	NA	NA	NA	NA	1
36	NA	NA	NA	NA	NA	NA	2
36	NA	NA	NA	NA	NA	NA	3
36	P5	NA	NA	NA	NA	NA	1
36	P5	NA	NA	NA	NA	NA	2
36	P5	NA	NA	NA	NA	NA	3
37	P1	0.42	NA	NA	NA	NA	1
37	P1	0.42	NA	NA	NA	NA	2
37	P1	0.42	NA	NA	NA	NA	3
37	P1	0.69	NA	NA	NA	NA	1
37	P1	0.69	NA	NA	NA	NA	2
37	P1	1.00	NA	NA	NA	NA	1
37	P1	1.00	NA	NA	NA	NA	2
37	P1	1.00	NA	NA	NA	NA	3
38	P6	1.00	NA	NA	NA	NA	1
38	P6	1.00	NA	NA	NA	NA	2
38	NA	NA	NA	NA	NA	NA	1
38	NA	NA	NA	NA	NA	NA	2
38	P7,P6	0.10,0.10	NA	NA	NA	NA	1
