,0,1
0,259,20
1,164,36
2,225,241
3,225,346
4,225,21
5,117,171
6,164,344
7,164,319
8,225,344
9,225,36
10,164,229
11,117,350
12,164,7
13,259,346
14,225,210
15,350,164
16,259,322
17,350,334
18,117,36
19,225,94
20,225,25
21,117,201
22,164,325
23,259,170
24,350,124
25,259,92
26,225,131
27,225,324
28,164,242
29,259,123
30,117,164
31,350,346
32,334,233
33,259,283
34,164,16
35,259,319
36,350,122
37,259,206
38,164,204
39,164,338
40,164,324
41,225,231
42,225,50
43,225,319
44,225,338
45,225,224
46,350,170
47,225,325
48,164,241
49,350,204
50,225,289
51,334,365
52,225,161
53,164,171
54,225,185
55,225,85
56,164,206
57,117,333
58,259,130
59,334,276
60,225,156
61,259,227
62,164,85
63,117,124
64,259,201
65,164,289
66,350,201
67,164,201
68,259,289
69,131,209
70,225,180
71,225,263
72,259,225
73,334,345
74,259,21
75,225,199
76,131,246
77,225,229
78,225,335
79,259,334
80,225,74
81,259,93
82,164,199
83,164,131
84,164,356
85,164,225
86,164,138
87,164,102
88,164,205
89,131,371
90,334,234
91,259,325
92,131,12
93,164,259
94,225,259
95,225,7
96,259,211
97,259,7
98,259,216
99,225,171
100,225,368
101,225,218
102,117,122
103,164,185
104,225,170
105,259,364
106,259,122
107,259,164
108,225,121
109,164,364
110,225,204
111,334,35
112,334,20
113,131,14
114,225,136
115,225,234
116,334,275
117,164,18
118,225,123
119,164,335
120,350,62
121,117,334
122,164,68
123,225,320
124,334,305
125,225,334
126,164,351
127,117,206
128,225,106
129,117,4
130,164,94
131,131,294
132,225,108
133,164,116
134,164,218
135,259,229
136,350,369
137,225,235
138,117,62
139,350,199
140,225,322
141,350,281
142,164,216
143,350,130
144,225,293
145,164,369
146,164,20
147,225,92
148,259,369
149,225,226
150,117,204
151,117,225
152,164,226
153,164,350
154,225,205
155,131,265
156,164,235
157,164,224
158,259,205
159,225,221
160,164,221
161,225,102
162,225,359
163,164,227
164,164,122
165,225,272
166,225,211
167,164,136
168,334,243
169,225,117
170,334,284
171,225,363
172,117,235
173,225,281
174,131,109
175,350,234
176,164,65
177,334,68
178,350,211
179,131,274
180,164,121
181,225,4
182,225,122
183,225,311
184,350,4
185,131,301
186,334,342
187,117,199
188,259,161
189,225,206
190,225,93
191,225,207
192,164,240
193,350,207
194,225,68
195,350,206
196,164,117
197,164,123
198,117,170
199,350,123
200,350,171
201,259,62
202,164,281
203,225,350
204,164,363
205,164,74
206,259,4
207,164,255
208,225,164
209,164,170
210,259,94
211,225,130
212,334,168
213,164,334
214,164,283
215,164,147
216,164,293
217,164,4
218,350,161
219,334,37
220,117,346
221,225,87
222,334,221
223,334,69
224,164,21
225,259,106
226,131,260
227,225,20
228,225,216
229,259,18
230,117,332
231,131,319
232,225,84
233,164,119
234,225,208
235,117,34
236,334,341
237,164,370
238,225,352
239,334,171
240,334,107
241,131,102
242,350,116
243,259,276
244,164,332
245,117,35
246,334,346
247,350,185
248,117,85
249,164,296
250,131,168
251,259,132
252,164,342
253,259,143
254,334,96
255,350,115
256,164,82
257,225,13
258,350,139
259,131,334
260,131,122
261,225,98
262,164,341
263,334,219
264,164,178
265,225,178
266,131,321
267,117,80
268,350,286
269,117,178
270,259,126
271,225,140
272,117,121
273,225,81
274,259,291
275,164,244
276,259,167
277,350,297
278,117,319
279,131,320
280,334,325
281,350,273
282,164,274
283,131,164
284,117,174
285,117,7
286,117,325
287,334,77
288,334,319
289,164,237
290,334,260
291,334,204
292,225,58
293,117,324
294,259,337
295,259,370
296,164,12
297,225,217
298,164,78
299,131,108
300,117,78
301,259,133
302,259,331
303,164,164
304,131,338
305,131,157
306,117,344
307,225,186
308,334,78
309,131,272
310,334,154
311,334,258
312,131,154
313,164,120
314,259,12
315,164,96
316,259,187
317,334,46
318,117,82
319,131,311
320,334,332
321,225,54
322,131,346
323,225,260
324,117,25
325,117,229
326,164,186
327,350,231
328,350,311
329,334,18
330,131,242
331,350,242
332,350,3
333,350,233
334,350,16
335,117,272
336,117,338
337,334,27
338,164,270
339,334,240
340,259,35
341,117,8
342,131,85
343,131,342
344,259,16
345,225,139
346,225,242
347,334,242
348,259,69
349,334,85
350,117,342
351,117,335
352,164,50
353,131,121
354,259,85
355,350,138
356,131,189
357,117,248
358,225,316
359,117,345
360,350,121
361,164,318
362,117,185
363,225,157
364,225,308
365,225,265
366,350,284
367,334,265
368,334,263
369,259,32
370,225,222
371,117,216
372,225,57
373,117,13
374,334,367
375,259,139
376,225,112
377,117,297
378,131,317
379,117,366
380,225,200
381,117,312
382,259,249
383,164,366
384,225,360
385,117,360
386,225,236
387,117,219
388,225,306
389,225,159
390,225,77
391,131,41
392,117,358
393,334,178
394,350,321
395,334,101
396,225,78
397,164,61
398,259,219
399,259,279
400,225,358
401,225,232
402,225,332
403,225,247
404,164,200
405,117,6
406,334,126
