,0,1
0,0,15
1,0,12
2,0,17
3,0,14
4,0,11
5,0,9
6,0,10
7,0,23
8,0,18
9,0,21
10,0,22
11,0,24
12,0,20
13,0,16
14,0,25
15,0,6
16,0,29
17,0,28
18,0,19
19,0,8
20,0,13
21,0,26
22,0,31
23,0,33
24,0,27
25,0,35
26,0,7
27,0,5
28,0,30
29,0,34
30,0,37
31,0,32
32,0,41
33,0,39
34,0,36
35,0,42
36,0,4
37,0,38
38,0,40
39,0,43
40,0,44
41,0,2
42,0,45
43,0,47
44,0,3
45,0,46
46,0,49
47,0,53
48,0,48
49,0,50
50,0,54
51,0,51
52,0,52
53,0,55
54,0,56
55,0,66
56,0,1
57,0,57
58,0,64
59,0,59
60,0,65
61,0,61
62,0,77
63,33,55
64,33,54
65,33,60
66,33,56
67,33,57
68,33,52
69,33,58
70,33,53
71,33,47
72,33,51
73,33,50
74,33,49
75,33,48
76,33,46
77,33,45
78,33,44
79,33,43
80,33,59
81,99,99
82,33,61
83,33,71
84,33,41
85,33,77
86,33,76
87,33,75
88,33,74
89,33,73
90,33,72
91,33,70
92,33,62
93,33,69
94,33,68
95,33,67
96,33,66
97,33,65
98,33,64
99,33,63
100,33,42
101,33,10
102,33,40
103,33,12
104,33,19
105,33,18
106,33,17
107,33,16
108,33,15
109,33,14
110,33,13
111,33,11
112,33,39
113,33,79
114,33,9
115,33,8
116,33,7
117,33,6
118,33,5
119,33,4
120,33,20
121,33,21
122,33,22
123,33,23
124,33,38
125,33,37
126,33,36
127,33,35
128,33,34
129,33,33
130,33,32
131,33,31
132,33,30
133,33,29
134,33,28
135,33,27
136,33,26
137,33,25
138,33,24
139,33,78
140,34,11
141,33,80
142,34,28
143,34,35
144,34,34
145,34,33
146,34,32
147,34,31
148,34,30
149,34,29
150,34,27
151,33,81
152,34,26
153,34,25
154,34,24
155,34,23
156,34,22
157,34,21
158,34,20
159,34,36
160,34,37
161,34,38
162,34,39
163,34,54
164,34,53
165,34,52
166,34,51
167,34,50
168,34,49
169,34,48
170,34,47
171,34,46
172,34,45
173,34,44
174,34,43
175,34,42
176,34,41
177,34,40
178,34,19
179,34,18
180,34,17
181,33,98
182,33,96
183,33,95
184,33,94
185,33,93
186,33,92
187,33,91
188,33,90
189,33,89
190,33,88
191,33,87
192,33,86
193,33,85
194,33,84
195,33,83
196,33,82
197,33,97
198,33,99
199,34,16
200,34,0
201,34,15
202,34,14
203,34,13
204,34,12
205,33,2
206,34,10
207,34,9
208,34,8
209,34,7
210,34,6
211,34,5
212,34,4
213,34,3
214,34,2
215,34,1
216,33,3
217,32,70
218,33,1
219,31,96
220,32,3
221,32,2
222,32,1
223,32,0
224,31,99
225,31,98
226,31,97
227,31,95
228,32,24
229,31,94
230,31,93
231,31,92
232,31,91
233,31,90
234,31,89
235,31,88
236,32,4
237,32,5
238,32,6
239,32,7
240,32,22
241,32,21
242,32,20
243,32,19
244,32,18
245,32,17
246,32,16
247,32,15
248,32,14
249,32,13
250,32,12
251,32,11
252,32,10
253,32,9
254,32,8
255,31,87
256,31,86
257,31,85
258,31,66
259,31,64
260,31,63
261,31,62
262,31,61
263,31,60
264,31,59
265,31,58
266,31,57
267,31,56
268,31,55
269,31,54
270,31,53
271,31,52
272,31,51
273,31,50
274,31,65
275,31,67
276,31,84
277,31,68
278,31,83
279,31,82
280,31,81
281,31,80
282,31,79
283,31,78
284,31,77
285,31,76
286,31,75
287,31,74
288,31,73
289,31,72
290,31,71
291,31,70
292,31,69
293,32,23
294,32,25
295,33,0
296,32,73
297,32,80
298,32,79
299,32,78
300,32,77
301,32,76
302,32,75
303,32,74
304,32,72
305,32,26
306,32,71
307,34,56
308,32,69
309,32,68
310,32,67
311,32,66
312,32,65
313,32,81
314,32,82
315,32,83
316,32,84
317,32,99
318,32,98
319,32,97
320,32,96
321,32,95
322,32,94
323,32,93
324,32,92
325,32,91
326,32,90
327,32,89
328,32,88
329,32,87
330,32,86
331,32,85
332,32,64
333,32,63
334,32,62
335,32,43
336,32,41
337,32,40
338,32,39
339,32,38
340,32,37
341,32,36
342,32,35
343,32,34
344,32,33
345,32,32
346,32,31
347,32,30
348,32,29
349,32,28
350,32,27
351,32,42
352,32,44
353,32,61
354,32,45
355,32,60
356,32,59
357,32,58
358,32,57
359,32,56
360,32,55
361,32,54
362,32,53
363,32,52
364,32,51
365,32,50
366,32,49
367,32,48
368,32,47
369,32,46
370,34,55
371,34,88
372,34,57
373,36,60
374,36,67
375,36,66
376,36,65
377,36,64
378,36,63
379,36,62
380,36,61
381,36,59
382,36,50
383,36,58
384,36,57
385,36,56
386,36,55
387,36,54
388,36,53
389,36,52
390,36,68
391,36,69
392,36,70
393,36,71
394,36,86
395,36,85
396,36,84
397,36,83
398,36,82
399,36,81
400,36,80
401,36,79
402,36,78
403,36,77
404,36,76
405,36,75
406,36,74
407,36,73
408,36,72
409,36,51
410,36,49
411,34,58
412,36,21
413,36,28
414,36,27
415,36,26
416,36,25
417,36,24
418,36,23
419,36,22
420,36,20
421,36,48
422,36,19
423,36,18
424,36,17
425,36,16
426,36,15
427,36,14
428,36,13
429,36,29
430,36,30
431,36,31
432,36,32
433,36,47
434,36,46
435,36,45
436,36,44
437,36,43
438,36,42
439,36,41
440,36,40
441,36,39
442,36,38
443,36,37
444,36,36
445,36,35
446,36,34
447,36,33
448,36,87
449,36,88
450,36,89
451,37,37
452,37,44
453,37,43
454,37,42
455,37,41
456,37,40
457,37,39
458,37,38
459,37,36
460,36,90
461,37,35
462,37,34
463,37,33
464,37,32
465,37,31
466,37,30
467,37,29
468,37,45
469,37,46
470,37,47
471,37,48
472,37,63
473,37,62
474,37,61
475,37,60
476,37,59
477,37,58
478,37,57
479,37,56
480,37,55
481,37,54
482,37,53
483,37,52
484,37,51
485,37,50
486,37,49
487,37,28
488,37,27
489,37,26
490,37,7
491,37,5
492,37,4
493,37,3
494,37,2
495,37,1
496,37,0
497,36,99
498,36,98
499,36,97
500,36,96
501,36,95
502,36,94
503,36,93
504,36,92
505,36,91
506,37,6
507,37,8
508,37,25
509,37,9
510,37,24
511,37,23
512,37,22
513,37,21
514,37,20
515,37,19
516,37,18
517,37,17
518,37,16
519,37,15
520,37,14
521,37,13
522,37,12
523,37,11
524,37,10
525,36,12
526,36,11
527,36,10
528,35,5
529,35,12
530,35,11
531,35,10
532,35,9
533,35,8
