Stimuli,Inhibitor,DA:AKT,DA:ERK12,DA:Ikb,DA:JNK12,DA:p38,DA:HSP27,DA:MEK12,DV:AKT,DV:ERK12,DV:Ikb,DV:JNK12,DV:p38,DV:HSP27,DV:MEK12
None,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369
None,None,30,30,30,30,30,30,30,11592,234,507,92,38,501,5117
None,None,180,180,180,180,180,180,180,6277,719,453,42,36,281,5620
TNFa,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369
TNFa,None,30,30,30,30,30,30,30,14488,229,5642,158,134,467,5581
TNFa,None,180,180,180,180,180,180,180,8541,943,4044,96,155,410,5702
IL1a,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369
IL1a,None,30,30,30,30,30,30,30,9014,453,19518,2858,1660,11702,9952
IL1a,None,180,180,180,180,180,180,180,8569,1024,5418,171,640,504,5865
IGF1,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369
IGF1,None,30,30,30,30,30,30,30,24720,206,556,229,77,489,6845
IGF1,None,180,180,180,180,180,180,180,22369,1447,801,85,140,374,8596
TGFa,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369
TGFa,None,30,30,30,30,30,30,30,23692,974,520,146,376,286,23367
TGFa,None,180,180,180,180,180,180,180,8024,2506,2031,198,272,409,17724
None,MEKi,0,0,0,0,0,0,NON AVAILABLE,11918,244,425,86,18,460,NON AVAILABLE
None,MEKi,30,30,30,30,30,30,NON AVAILABLE,12647,103,445,83,15,515,NON AVAILABLE
None,MEKi,180,180,180,180,180,180,NON AVAILABLE,11189,384,404,89,22,405,NON AVAILABLE
TNFa,MEKi,0,0,0,0,0,0,NON AVAILABLE,11918,244,425,86,18,460,NON AVAILABLE
TNFa,MEKi,30,30,30,30,30,30,NON AVAILABLE,13603,99,3974,200,36,604,NON AVAILABLE
TNFa,MEKi,180,180,180,180,180,180,NON AVAILABLE,10541,337,3211,79,35,425,NON AVAILABLE
IL1a,MEKi,0,0,0,0,0,0,NON AVAILABLE,11918,244,425,86,18,460,NON AVAILABLE
IL1a,MEKi,30,30,30,30,30,30,NON AVAILABLE,13266,106,18519,2559,1207,9878,NON AVAILABLE
IL1a,MEKi,180,180,180,180,180,180,NON AVAILABLE,9402,201,4963,127,241,527,NON AVAILABLE
IGF1,MEKi,0,0,0,0,0,0,NON AVAILABLE,11918,244,425,86,18,460,NON AVAILABLE
IGF1,MEKi,30,30,30,30,30,30,NON AVAILABLE,24202,120,486,126,38,620,NON AVAILABLE
IGF1,MEKi,180,180,180,180,180,180,NON AVAILABLE,23093,356,530,105,22,388,NON AVAILABLE
TGFa,MEKi,0,0,0,0,0,0,NON AVAILABLE,11918,244,425,86,18,460,NON AVAILABLE
TGFa,MEKi,30,30,30,30,30,30,NON AVAILABLE,24905,128,933,340,169,526,NON AVAILABLE
TGFa,MEKi,180,180,180,180,180,180,NON AVAILABLE,16614,519,1178,152,115,448,NON AVAILABLE
None,p38i,0,0,0,0,NON AVAILABLE,0,0,11324,418,498,91,NON AVAILABLE,420,5352
None,p38i,30,30,30,30,NON AVAILABLE,30,30,14109,176,508,125,NON AVAILABLE,500,4887
None,p38i,180,180,180,180,NON AVAILABLE,180,180,8540,660,488,58,NON AVAILABLE,340,5817
TNFa,p38i,0,0,0,0,NON AVAILABLE,0,0,11324,418,498,91,NON AVAILABLE,420,5352
TNFa,p38i,30,30,30,30,NON AVAILABLE,30,30,15035,270,3894,191,NON AVAILABLE,645,5292
TNFa,p38i,180,180,180,180,NON AVAILABLE,180,180,10129,951,4024,94,NON AVAILABLE,438,6006
IL1a,p38i,0,0,0,0,NON AVAILABLE,0,0,11324,418,498,91,NON AVAILABLE,420,5352
IL1a,p38i,30,30,30,30,NON AVAILABLE,30,30,16157,377,17922,3045,NON AVAILABLE,866,9734
IL1a,p38i,180,180,180,180,NON AVAILABLE,180,180,9111,864,6625,259,NON AVAILABLE,539,5021
IGF1,p38i,0,0,0,0,NON AVAILABLE,0,0,11324,418,498,91,NON AVAILABLE,420,5352
IGF1,p38i,30,30,30,30,NON AVAILABLE,30,30,24247,191,526,117,NON AVAILABLE,475,5268
IGF1,p38i,180,180,180,180,NON AVAILABLE,180,180,21715,1240,597,74,NON AVAILABLE,396,8086
TGFa,p38i,0,0,0,0,NON AVAILABLE,0,0,11324,418,498,91,NON AVAILABLE,420,5352
TGFa,p38i,30,30,30,30,NON AVAILABLE,30,30,23161,1326,706,185,NON AVAILABLE,546,16460
