Peptide,condition,0min_1,0min_2,0min_3,0min_4,12min_1,12min_2,12min_3,12min_4,18min_1,18min_2,18min_3,18min_4,24min_1,24min_2,24min_3,24min_4,30min_1,30min_2,30min_3,30min_4,36min_1,36min_2,36min_3,36min_4,42min_1,42min_2,42min_3,42min_4,48min_1,48min_2,48min_3,48min_4,54min_1,54min_2,54min_3,54min_4,60min_1,60min_2,60min_3,60min_4,6min_1,6min_2,6min_3,6min_4
Glyma.01G008500.1_S18_1,Control,27.9787981,26.23330408,27.73808583,0,27.17056778,26.31907967,28.00169304,0,27.42215232,25.7698058,28.0600094,0,27.3297659,27.83063303,28.28308982,0,27.10703369,25.62043756,28.15188129,0,27.40522626,27.29481717,27.92260074,0,27.02301223,26.05699292,28.0360999,0,27.63403838,27.011216,28.09506065,0,27.70697601,27.55432697,28.27270906,0,27.1051276,25.17381688,28.15941143,0,26.55418419,27.03494655,27.49660432,0
Glyma.01G015500.1_S257_1,Control,29.41358268,28.85737997,29.32819819,28.98956764,29.16986492,28.76677947,29.13450671,29.27377301,29.18684595,28.86771347,29.44539099,29.80962014,29.48218961,29.18298602,29.24264391,29.19145251,29.29420929,28.82884593,28.67555329,28.9331227,29.17980113,29.12857753,28.87116636,28.66781149,29.23632813,28.85811614,29.00828096,28.60232188,29.27988915,28.99855597,29.21591528,28.42245222,29.63985498,28.988946,28.4511304,28.46781304,29.23001695,29.14949024,28.56208498,28.91187157,29.15233242,28.92211668,28.96187376,29.05103493
Glyma.01G016500.1_S641_1,Control,23.30903379,23.62844759,23.07899228,23.4663945,23.27882672,23.06518933,22.78327775,22.78156335,22.90075857,23.17136097,22.92860193,23.4022214,22.55260681,23.25745898,23.22326204,23.04070579,23.17009282,22.49884365,23.79375178,23.21348846,23.51225289,23.29221131,23.49436983,23.75741175,22.88310211,22.67829026,23.16213807,23.44894067,23.18470116,22.79048566,23.41089669,23.91725715,22.42589175,22.83493568,23.55253028,23.70076048,23.40540087,23.48339498,23.33939846,23.86725501,22.86915477,22.73479668,22.83223079,22.92048679
Glyma.01G019200.1_T61_1,Control,0,0,0,0,0,21.68237223,0,0,23.13465696,21.97302049,0,19.64803028,0,0,0,0,0,0,0,21.59887881,0,0,0,0,21.96813243,22.45712971,0,21.52418577,0,23.07174206,0,0,23.10026411,0,0,0,23.67528871,0,23.4439302,22.86523847,0,0,0,0
Glyma.01G036700.1_S182_1,Control,26.36431542,24.16129052,24.65631966,24.80518522,25.37885708,24.41660263,24.76702519,25.3731287,25.6113139,23.8824427,24.2502536,25.63614872,26.09439728,25.02035286,25.0815652,25.55841234,26.05582058,23.71968446,23.62948721,25.48540088,25.89719673,25.16232163,25.0356567,25.55191071,25.94704101,24.36145369,24.46502523,25.55949684,25.98251815,24.71827372,24.28753934,25.63764034,25.43552643,25.66764713,24.7263815,25.20873301,25.31927928,23.22334051,24.73453864,25.02586055,25.81841197,24.84049416,24.98476141,25.56100952
Glyma.01G062100.1_S61_1,Control,25.65263715,26.27033715,26.79942819,26.01549234,25.53849414,26.11903097,26.52144848,26.22640759,25.75323236,26.09972528,26.36055505,26.44957789,25.82020237,26.17219031,26.12117018,26.15246871,25.73609344,26.20183209,25.60452561,25.40224488,25.39125224,25.97356622,25.59830775,25.81205297,25.64306944,26.18175038,26.47256802,25.62380431,25.69768038,25.82454246,26.18105527,25.67616951,25.81811622,25.86908775,24.95656806,25.18883272,25.77919947,26.30257252,25.71549202,25.67549386,25.90969896,26.68730462,26.557891,26.33556292
Glyma.01G087900.1_S556_1,Control,23.88091993,24.99872103,24.27089478,23.17408039,23.51705797,24.42841301,24.00219669,22.52518627,24.31810153,25.13797239,23.49131542,0,22.78637028,24.46022786,23.74365172,0,22.91088612,23.9862204,23.76822248,22.5505013,23.96515343,22.66621034,23.38493936,22.3399002,23.6646598,22.58064909,23.82624526,23.68299957,23.49272542,23.64854902,22.34534876,22.75844495,22.18112691,23.2579099,22.68917745,22.97797289,22.28203654,22.18082769,22.77902393,22.31415156,24.05944803,25.21715664,24.2134658,23.17725773
Glyma.01G089300.1_S512_1,Control,23.5835811,25.53525697,25.90428348,24.62463291,23.76344527,25.46433758,25.5063114,19.95003299,25.19482471,25.16969892,25.1823299,23.70688857,23.0057025,25.76114372,25.21038612,20.39584459,22.64798093,24.06745056,23.99109329,24.26032837,24.15481728,23.97123616,25.21072836,0,24.25769263,24.67516446,26.15403153,25.74354816,23.90759746,24.96217386,24.99470025,24.96350936,23.82905246,24.83487063,25.32442094,25.15695604,21.52656701,23.92923887,25.47287969,24.77010007,22.63554607,26.00062902,25.8622931,24.92185116
Glyma.01G115900.1_T111_1,Control,28.14583984,20.60128041,28.02525787,27.02725517,27.27096263,28.23869616,27.64315604,26.83529774,27.34572228,27.57540613,27.87861516,28.26916696,28.26628594,26.57856706,27.66214006,26.52853463,28.12542059,27.4260292,26.96670666,27.27886888,27.99033733,21.72190714,27.95366207,26.88381484,27.90766062,27.75460639,28.11223038,27.21374047,28.17632459,27.25956787,23.15223999,27.09495075,27.47643288,27.00682229,27.59441267,27.33493095,28.19120517,27.90837983,27.21239455,27.46075653,28.2946929,28.20400762,27.98202228,27.74469705
Glyma.01G115900.1_T113_1,Control,28.14583984,26.8249703,28.02525787,0,27.27096263,28.23869616,27.64315604,0,27.34572228,27.57540613,27.87861516,0,19.51531234,22.56526954,27.66214006,0,28.12542059,27.27931383,26.96670666,0,27.99033733,27.92835737,27.95366207,0,27.90766062,27.75460639,28.11223038,0,28.17632459,27.25956787,28.00782852,0,27.47643288,27.00682229,27.59441267,0,28.19120517,27.90837983,27.21239455,0,28.2946929,28.20400762,27.98202228,0
